City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
127,Port Elizabeth,ZA,8/22/2020 1:53,-33.92,25.57,51.8,81,14,5.82
128,Chipata,ZM,8/22/2020 1:57,-13.63,32.65,57.56,82,85,9.4
129,Torbay,CA,8/22/2020 1:53,47.67,-52.73,63,77,75,17.22
130,Ugoofaaru,MV,8/22/2020 1:57,5.67,73,82.08,73,22,4.32
131,Muisne,EC,8/22/2020 1:57,0.6,-80.03,73.65,83,100,5.97
132,Igarka,RU,8/22/2020 1:57,67.47,86.58,56.8,67,94,7.36
133,Sabang,ID,8/22/2020 1:55,5.89,95.32,82.54,71,100,1.9
134,Lumut,MY,8/22/2020 1:57,4.23,100.63,78.8,88,20,2.24
135,Atuona,PF,8/22/2020 1:56,-9.8,-139.03,79.05,74,13,10.25
136,San Cristobal,VE,8/22/2020 1:56,7.77,-72.22,67.93,93,100,3.13
137,Grand Gaube,MU,8/22/2020 1:57,-20.01,57.66,66.99,79,0,4
138,Cape Town,ZA,8/22/2020 1:53,-33.93,18.42,45,93,0,4.7
139,Ransang,PH,8/22/2020 1:57,8.96,117.58,85.57,70,96,0.67
140,Saint-Andre-Avellin,CA,8/22/2020 1:57,45.72,-75.07,64,93,20,2.24
141,Hobyo,SO,8/22/2020 1:56,5.35,48.53,75.65,82,76,23.64
142,Saint-Augustin,CA,8/22/2020 1:56,51.23,-58.65,54.07,75,0,6.31
143,Puerto Ayora,EC,8/22/2020 1:56,-0.74,-90.35,66.99,88,62,7
144,Cuamba,MZ,8/22/2020 1:56,-14.8,36.54,61.5,84,1,5.95
145,Iralaya,HN,8/22/2020 1:57,15,-83.23,80.35,85,58,7.92
146,Teahupoo,PF,8/22/2020 1:57,-17.83,-149.27,78.8,78,75,5.82
147,Progreso,MX,8/22/2020 1:57,21.28,-89.67,79,88,75,5.82
148,Saint George,US,8/22/2020 1:56,37.1,-113.58,104,12,1,13.87
149,Ayakudi,IN,8/22/2020 1:57,10.45,77.55,79.57,63,33,3.47
150,Wakkanai,JP,8/22/2020 1:57,45.41,141.67,73.4,64,20,13.87
151,Ranot,TH,8/22/2020 1:57,7.78,100.32,84.24,66,94,3.87
152,Urucara,BR,8/22/2020 1:56,-2.54,-57.76,80.4,44,23,1.83
153,Manacapuru,BR,8/22/2020 1:57,-3.3,-60.62,82.4,78,5,10.29
154,Nanortalik,GL,8/22/2020 1:56,60.14,-45.24,45.57,72,0,0.09
155,Kodiak,US,8/22/2020 1:56,57.79,-152.41,69.8,52,1,6.93
156,Port Alfred,ZA,8/22/2020 1:53,-33.59,26.89,58.24,62,37,8.01
157,Mampong,GH,8/22/2020 1:57,7.06,-1.4,69.35,98,97,4.7
158,Khatanga,RU,8/22/2020 1:55,71.97,102.5,53.06,51,0,14.81
159,Praia Da Vitoria,PT,8/22/2020 1:56,38.73,-27.07,68,94,20,2.3
160,Najran,SA,8/22/2020 1:57,17.49,44.13,77,23,87,4.7
161,Hami,CN,8/22/2020 1:56,42.8,93.45,83.55,19,0,6.53
162,Brunico,IT,8/22/2020 1:57,46.8,11.94,66.2,82,0,3.36
163,Salt,JO,8/22/2020 1:57,32.04,35.73,68,77,20,9.17
164,Cayenne,GF,8/22/2020 1:57,4.93,-52.33,75.2,100,0,7.65
165,Asfi,MA,8/22/2020 1:57,32.3,-9.24,70.74,76,0,14.74
166,Barrow,US,8/22/2020 1:56,71.29,-156.79,53.6,76,1,10.29
167,Singaraja,ID,8/22/2020 1:57,-8.11,115.09,85.26,50,16,1.21
168,Boa Vista,BR,8/22/2020 1:55,2.82,-60.67,84.2,66,27,4.7
169,Olivet,FR,8/22/2020 1:57,47.86,1.9,64,82,72,10.29
170,Mount Isa,AU,8/22/2020 1:56,-20.73,139.5,77,17,0,12.75
171,Maraba,BR,8/22/2020 1:57,-5.37,-49.12,82.4,58,56,2.24
172,Bonavista,CA,8/22/2020 1:56,48.65,-53.11,62.01,74,87,8.99
173,Provideniya,RU,8/22/2020 1:53,64.38,-173.3,49.28,89,100,11.5
174,Padang,ID,8/22/2020 1:57,-0.95,100.35,84.34,66,27,1.57
175,Lompoc,US,8/22/2020 1:53,34.64,-120.46,68,82,90,12.75
176,Japura,ID,8/22/2020 1:57,-0.32,102.35,83.44,67,47,4.99
177,Asosa,ET,8/22/2020 1:57,10.07,34.53,60.35,100,100,0.63
178,Dunedin,NZ,8/22/2020 1:56,-45.87,170.5,50,86,7,8.99
179,Gaziantep,TR,8/22/2020 1:57,37.06,37.38,75.2,36,0,16.11
180,Yanaul,RU,8/22/2020 1:57,56.27,54.93,52.59,93,100,8.5
181,Sao Raimundo Nonato,BR,8/22/2020 1:57,-9.02,-42.7,75.33,42,10,5.57
182,Qaanaaq,GL,8/22/2020 1:56,77.48,-69.36,36.21,83,100,1.05
183,Sri Aman,MY,8/22/2020 1:57,1.24,111.46,84.2,83,20,1.3
184,North Vernon,US,8/22/2020 1:57,39.01,-85.62,72,84,100,3.94
185,Mehran,IR,8/22/2020 1:57,33.12,46.16,64.4,25,0,2.24
186,Angatuba,BR,8/22/2020 1:57,-23.49,-48.41,46.62,86,100,11.07
187,Carutapera,BR,8/22/2020 1:57,-1.2,-46.02,77.13,86,1,5.73
188,Kletnya,RU,8/22/2020 1:57,53.39,33.22,49.98,95,0,5.3
189,Ossora,RU,8/22/2020 1:57,59.24,163.07,53.19,85,100,1.19
190,Cabedelo,BR,8/22/2020 1:56,-6.98,-34.83,73.4,88,40,4.7
191,Tiksi,RU,8/22/2020 1:56,71.69,128.87,40.26,90,100,9.89
192,Viedma,AR,8/22/2020 1:57,-40.81,-63,54,52,0,3
193,Fairbanks,US,8/22/2020 1:56,64.84,-147.72,68,56,90,6.22
194,Svetlyy,RU,8/22/2020 1:57,54.67,20.13,71.6,64,81,6.71
195,Zyryanka,RU,8/22/2020 1:56,65.75,150.85,46.53,55,100,17.56
196,Riyadh,SA,8/22/2020 1:53,24.69,46.72,82.4,26,59,2.24
197,Brits,ZA,8/22/2020 1:57,-25.63,27.78,51.01,82,0,6.87
198,Vallenar,CL,8/22/2020 1:55,-28.57,-70.76,60.13,46,0,1.39
199,Nueva Italia,PY,8/22/2020 1:57,-25.62,-57.5,50,39,0,6.93
200,Ancud,CL,8/22/2020 1:56,-41.87,-73.82,45,100,90,3.36
201,Cabinda,AO,8/22/2020 1:57,-5.55,12.2,72.21,88,28,6.35
202,Parrita,CR,8/22/2020 1:57,9.52,-84.32,68,100,90,5.82
203,Kollam,IN,8/22/2020 1:57,8.88,76.6,80.6,88,20,2.24
204,Benjamin Constant,BR,8/22/2020 1:57,-4.38,-70.03,64.4,93,75,5.82
205,Bintulu,MY,8/22/2020 1:57,3.17,113.03,84.2,83,20,2.24
206,Bethel,US,8/22/2020 1:56,41.37,-73.41,73.4,73,1,3.91
207,Tura,IN,8/22/2020 1:57,25.52,90.22,75.97,89,88,5.08
208,Hammerfest,NO,8/22/2020 1:57,70.66,23.68,62.6,77,73,16.11
209,Bubaque,GW,8/22/2020 1:56,11.28,-15.83,79.92,84,100,17.05
210,Sattahip,TH,8/22/2020 1:57,12.67,100.9,86,66,20,4.7
211,Vestmannaeyjar,IS,8/22/2020 1:56,63.44,-20.27,50.95,66,0,9.86
