City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
134,Enshi,30.3,109.48,74.89,86,27,0.69,light rain
135,Tutoia,-2.76,-42.27,79.21,79,2,14.27,clear sky
136,Khatanga,71.97,102.5,56.73,65,98,9.22,overcast clouds
137,Muros,42.78,-9.06,66.0,81,1,1.99,clear sky
138,Matongo,-2.38,34.08,75.24,39,100,6.49,overcast clouds
139,Marrakesh,31.63,-8.01,89.6,27,40,6.93,scattered clouds
140,Konevo,62.12,39.32,57.81,96,100,5.59,overcast clouds
141,Mehamn,71.04,27.85,55.4,87,100,8.05,overcast clouds
142,Ilulissat,69.22,-51.1,44.6,65,0,3.36,clear sky
143,Mocuba,-16.84,36.99,62.35,87,50,1.92,scattered clouds
144,Hofn,64.25,-15.21,50.05,76,97,2.19,overcast clouds
145,Ampanihy,-24.7,44.75,64.17,85,0,1.59,clear sky
146,East London,-33.02,27.91,59.7,76,4,7.14,clear sky
147,Vila Velha,-20.33,-40.29,72.0,72,30,12.75,scattered clouds
148,Cherskiy,68.75,161.3,38.52,94,100,10.29,light rain
149,Seddon,-37.81,144.89,46.99,93,40,8.05,scattered clouds
150,Tyukhtet,56.54,89.3,53.83,98,100,4.83,moderate rain
151,Clyde River,70.47,-68.59,42.49,86,100,4.23,light rain
152,Diffa,13.32,12.61,80.01,66,97,10.16,overcast clouds
153,La Romana,18.43,-68.97,84.2,79,75,11.41,broken clouds
154,Nemuro,43.32,145.57,64.81,90,4,7.9,clear sky
155,Tobolsk,58.2,68.27,50.49,94,90,8.16,overcast clouds
156,Anadyr,64.75,177.48,53.6,87,40,6.71,light rain
157,Sala,34.04,-6.82,70.0,93,0,2.8,clear sky
158,Mahebourg,-20.41,57.7,71.6,78,40,16.11,shower rain
159,San Quintin,30.48,-115.95,79.65,58,0,12.48,clear sky
160,Cuenca,-2.88,-78.98,69.8,37,65,13.87,broken clouds
161,Jiaonan,35.88,119.98,80.6,83,40,8.95,scattered clouds
162,Przeworsk,50.06,22.49,61.0,100,61,4.94,broken clouds
163,Tirumullaivasal,11.23,79.83,80.4,85,50,12.1,moderate rain
164,Opuwo,-18.06,13.84,55.72,44,2,1.57,clear sky
165,Thinadhoo,0.53,72.93,83.14,72,83,8.93,broken clouds
166,Nikolskoye,59.7,30.79,63.0,82,100,2.24,overcast clouds
167,Klaksvik,62.23,-6.59,44.6,87,73,1.12,broken clouds
168,Tuatapere,-46.13,167.68,53.01,88,51,8.01,broken clouds
169,Cerrik,41.03,19.98,71.6,83,23,3.36,few clouds
170,Hithadhoo,-0.6,73.08,82.54,79,68,13.13,light rain
171,Ust-Shonosha,61.15,41.34,58.93,90,100,5.73,overcast clouds
172,Vestmannaeyjar,63.44,-20.27,52.12,75,74,5.17,broken clouds
